Name,Class,Artist,Title,Mapped_Words,Lyrics
MT0000008995,Q3,Billie_Holiday,You're_Too_Lovely_to_Last,"['misreable', 'sad', 'depressed', 'gloomy', 'bored', 'droopy', 'tired']","[Verse 1]
Just when you are near
When I hold you fast
Then my dreams will whisper
You're too lovely to last

[Verse 2]
Lips are saying ""Love""
All worries have passed
Then I get that feeling
You're too lovely to last

[Bridge]
Will I ever know of real love
So I can forget you?
Will I always have to steal love?
What am I to do?

[Verse 3]
Soon the night is gone
Dreams are fading fast
Then I wake up knowin'
You're too lovely to last

[Bridge]
Will I ever know of real love
So I can forget you?
Will I always have to steal love?
What am I to do?

[Verse 3]
Soon the night is gone
Dreams are fading fast
Then I wake up knowin'
You're too lovely to last

[Outro]
Baby, you're too lovely
You're much too lovely to last"
MT0000022649,Q3,Jim_Reeves,Adios_Amigo,"['misreable', 'sad', 'depressed', 'gloomy', 'bored', 'droopy', 'tired']","[Verse 1]
Adiós amigo, adiós my friend
The road we have travelled has come to an end
When two love the same love, one love has to lose
And it's you who she longs for, it's you she will choose

[Verse 2]
Adiós compadre, what must be must be
Remember to name one muchacho for me
I ride to the Rio, where my life I must spend
Adiós amigo, adiós my friend

[Instrumental Break]
*Whistling*

[Verse 3]
Adiós compadre, let us shed no tears
May all your mañanas bring joy through the years
Away from these memories, my life I must spend
Adiós amigo, adiós my friend

[Outro]
*Whistling*"
MT0000024499,Q3,Bob_Marley,Concrete_Jungle,"['misreable', 'sad', 'depressed', 'gloomy', 'bored', 'droopy', 'tired']","[Verse 1]
No sun will shine in my day today (No sun will shine)
The high yellow moon won't come out to play (That high yellow moon won't come out to play)
I said (Darkness) darkness has covered my light
(And has changed) And has changed my day into night, yeah
Where is the love to be found?
Won't someone tell me? 'Cause life (Sweet life)
Must be somewhere to be found (Out there somewhere for me)

[Chorus]
Instead of concrete jungle (Jungle, jungle, jungle)
Where the living is hardest (Concrete jungle)
Concrete jungle (Jungle, jungle)
Man, you've got to do your best (Concrete jungle), oh, yeah

[Verse 2]
No chains around my feet but I'm not free, woah
I know I am bound here in captivity (Oh)
Yeah (Never know), I never know happiness (What happiness is)
Yeah (Never know), I never know what sweet caress is (What sweet caress is), still
I'll be always laughing like a clown
(Oh) won't someone help me? 'Cause I (Sweet life)
I've got to pick myself from off the ground (Out there somewhere for me), yeah, yeah

[Chorus]
In this yah concrete jungle (Jungle)
I said, ""What do you got for me now?"" (Concrete jungle)
Oh, concrete jungle (Jungle, jungle, jungle)
Ah, won't you let me be now? (Concrete jungle) Ayy, oh, now

[Guitar Solo]

[Verse 3]
I said that life (Sweet life)
Must be somewhere to be found (Out there somewhere for me)
Oh, instead of concrete jungle (Jungle, jungle, jungle)
Illusion, confusion (Concrete jungle)

[Outro]
Ayy, concrete jungle
You name it, you've got it in
Concrete jungle, now (Concrete jungle)
Ayy, concrete jungle (Jungle, jungle, jungle)
What do you got for me now? (Concrete jungle)"
MT0000026571,Q4,Perry_Como,Till_the_End_of_Time,"['pleased', 'glad', 'serene', 'content', 'at ease', 'satisfied', 'relaxed', 'calm']","'Til the end of time
Long as stars are in the blue
Long as there's a spring, a bird to sing
I'll go on loving you

'Til the end of time
Long as roses bloom in May
My love for you will grow deeper
With every passing day

'Til the wells run dry
And each mountain disappears
I'll be there for you to care for you
Through laughter and through tears

So take my heart in sweet surrender
And tenderly say that I'm
The one you love and live for
'Til the end of time

'Til the wells run dry
And each mountain disappears
I'll be there for you to care for you
Through laughter and through tears

So take my heart in sweet surrender
And tenderly say that I'm
The one you love and live for
'Til the end of time"
MT0000027422,Q3,Genesis,Uncertain_Weather,"['misreable', 'sad', 'depressed', 'gloomy', 'bored', 'droopy', 'tired']","[Intro]
A day of uncertain weather, captured in a frame forever
A face in a faded photograph

[Verse 1]
He must have had a life, maybe with a family
People who meant everything to him
A sinner, a saint, a soldier caught up in a war
He never had a chance to start or build a life

[Chorus]
All gone, long ago
Leaving no trace, disappearing like smoke in the wind
To become just a face without a name
Leaving no trace, disappearing like smoke in the wind

[Bridge]
Hopes and fears important plans, forgotten memories
Footsteps fading in the sand, oh
Schemes and dreams small and grand, nothing left to see
Footsteps fading in the sand, oh

[Verse 2]
Someone who cast a shadow, maybe just a lazy man
Doesn't make much difference now it's true
A day of uncertain weather, captured in a frame forever
A face in a faded photograph

[Chorus]
All gone, long ago, ooh
Leaving no trace, disappearing like smoke in the wind
To become just a face without a name
One more to add to the total of those never heard of again
Yes, he's gone, just a face without a name
Leaving no trace, disappearing like smoke in the wind
All gone, just a face without a name
Leaving no trace, disappearing like smoke in the wind"
MT0000030834,Q4,Billie_Holiday,Crazy_He_Calls_Me,"['pleased', 'glad', 'serene', 'content', 'at ease', 'satisfied', 'relaxed', 'calm']","I say I'll move the mountains
And I'll move the mountains
If he wants them out of the way
Crazy he calls me
Sure, I'm crazy
Crazy in love, I say

I say I'll go through fire
And I'll go through fire
As he wants it, so it will be
Crazy he calls me
Sure, I'm crazy
Crazy in love, you see

Like the wind that shakes the bough
He moves me with a smile
The difficult I'll do right now
The impossible will take a little while
I say I'll care forever
And I mean forever
If I have to hold up the sky
Crazy he calls me
Sure, I'm crazy
Crazy in love am I"
MT0000031210,Q3,Billie_Holiday,Without_Your_Love,"['misreable', 'sad', 'depressed', 'gloomy', 'bored', 'droopy', 'tired']","[Verse 1]
Without your love
I'm like a song without words
Just like a nest without birds
Without your love

[Verse 2]
The sun above
Will never shine at my door
My life holds nothing in store
Without your love

[Bridge]
I rode the crest of a wave
With you beside me
Now who's to guide me
Because I'm lost at sea

[Verse 3]
Without your love
I'm like a plane without wings
A violin with no strings
Without your love

[Instrumental Break]

[Bridge]
I rode the crest of a wave
With you beside me
Now who's to guide me
Because I'm lost at sea

[Verse 3]
Without your love
I'm like a plane without wings
A violin with no strings
Without your love"
MT0000040773,Q1,The_Andrews_Sisters,Beer_Barrel_Polka,"['aroused', 'astonished', 'excited', 'delighted', 'happy']","In the navy
In the navy
Every navy mans the right guy
Everyone gives him the bright eye
And the navy they do right by

To a sailor
To a sailor
All the world is just his main street
When you're in the navy
You're in the worlds best gleam

First you take your training as a boot
Swing a hammock navigate & shoot
Jump open ships & subs & planes
The seven seas are open lane

When the bow is down with Davy Jones
Folks will welcome home their rolling stones
For every navy mans a king
And you'll hear everybody sing

Here comes the navy
Break out the red, white & blue
Here comes the navy
Fighting & sea going through
Make way for navy
Navy with anchors aweigh
Everybody loves the navy of the usa

First you take your training as a boot
Swing a hammock & navigate & shoot
Jump open ships & in subs & in planes
The seven seas are open lane

Here it comes, here it comes, here comes the navy
Sing a song of good cheer because the navy is here
Everybody loves the navy of the usa"
MT0000042939,Q2,Cradle_of_Filth,The_Foetus_of_a_New_Day_Kicking,"['alarmed', 'tense', 'angry', 'afraid', 'annoyed', 'distressed', 'frustrated']","I'm chaos international
The writing on the wall
A Lazarus in parable

A dark and sullen lullaby
Whispered softly as you die
Promising torments are nigh

Danger warning levels hissed out loud
I saw the silver lining hidden in a mushroom cloud
Now I'm reeling from the shock at ground zero

If yesterday you would have stood up proud
Then why tonight have you thrown in with the stoning crowd?
I'll breathe through the foetus of a new day kicking

The foetus of a new day kicking

It's true that Jesus cannot save
I'm rising from the grave
To put my double cross to shame

A poison rush, a heart attack
A white assassin painted black
You'll fear this reaper coming back

Danger warning levels hissed out loud
I saw the silver lining hidden in a mushroom cloud
Now I'm reeling from the shock at ground zero

If yesterday you would have stood up proud
Then why tonight have you thrown in with the stoning crowd?
I'll breathe through the foetus of a new day kicking

On a night like this
You laid the serpent's kiss
In this garden of Gethsemane
You played the traitor well

In a dawn to come
I will blind the sun
To grant you pardon as my enemy

Before damning you to hell

Danger warning levels hissed out loud
I saw the silver lining hidden in a mushroom cloud
Now I'm reeling from the shock at ground zero

If yesterday you would have stood up proud
Then why tonight have you thrown in with the stoning crowd?
I'll breathe through the foetus of a new day kicking"
MT0000043184,Q3,Dolly_Parton,God_Won't_Get_You,"['misreable', 'sad', 'depressed', 'gloomy', 'bored', 'droopy', 'tired']","[Verse 1]
Sometimes in my sleep I hold you close against my skin
Waking up I wish that I could sleep and dream again
Cause only in my dreams can I know how it might have been
But cheaters never win, their heartaches never end

[Verse 2]
But sometimes I get crazy as lovers often do
Trying to please him and wondering if she's pleasing you
Though they have every right to any part of us they choose
I still live just for you and our secret rendezvous

[Chorus]
Torn between two lovers on the jukebox
I'm thinking how I could have wrote that song
Wondering if God loves us when we're cheating
Oh, but why he lets us feel things if it's wrong
And I guess I should be signing ""Rock of Ages""
""Amazing Grace"" and some of those good songs
But my cheating heart will tell on me tomorrow
If you think that God won't get you, well you're wrong

[Verse 3]
Thou shalt not commit it, it's written in the ""Ten""
The spirit's always willing, but the flesh is weak again
And you're as close to heaven as I might ever fly
An angel in disguise
A wrong that feels so right

[Chorus]
Torn between two lovers just keeps playing
I don't want to be right if loving you is wrong
I'm wondering if God loves us when we're cheating
Oh, but why we have to feel things if it's so wrong?
And I guess I should be singing ""Rock of Ages""
""Amazing Grace"" and some of those good songs
But my cheating heart will tell on me tomorrow
If you think that God won't get you, well you're wrong

[Outro]
My cheating heart will tell on me tomorrow
If you think that God won't get you, well you're wrong"
